date,close,open,high,low,volume_m,price_range,month,quarter
2024-03-01,169.93344116210938,177.93066619695745,178.90182347742228,166.97041723962366,1433.15,11.93,3,1
2024-04-01,168.7938232421875,169.64606764688045,176.75140076826546,162.60019097586454,1246.14,14.15,4,2
2024-05-01,190.51612854003906,168.05058739487788,191.25936441210683,167.58482503868828,1336.51,23.67,5,2
2024-06-01,209.00355529785156,191.41954931138955,218.51003373707246,190.67530531695695,1717.95,27.83,6,2
2024-07-01,220.37562561035156,210.4622894600678,235.40934929282267,210.29359595986494,1153.1,25.12,7,3
2024-08-01,227.24252319335938,222.64805161271357,231.13243705722172,194.4957840432246,1122.67,36.64,8,3
2024-09-01,231.4794464111328,227.05849005872795,231.56885543462616,212.5239603108069,1232.1,19.04,9,3
2024-10-01,224.4357147216797,228.0221564639488,235.94014544763533,219.88560198777526,930.74,16.05,10,4
2024-11-01,235.78118896484375,219.5279535305805,236.25805224577766,218.27618173342512,891.59,17.98,11,4
2024-12-01,249.05946350097656,235.98091366930555,258.6868798435115,235.87151069350782,977.92,22.82,12,4
2025-01-01,234.71780395507812,247.57754753988584,247.7466372788718,218.18810583791554,1200.18,29.56,1,1
2025-02-01,240.5260772705078,228.74046754203567,248.6417475528458,224.4737666555316,862.27,24.17,2,1
2025-03-01,221.1660614013672,240.74073437115717,242.9710192563616,207.51554989891628,1115.24,35.46,3,1
2025-04-01,211.57785034179688,218.856125962743,224.21278416478458,168.47571518513428,1607.32,55.74,4,2
2025-05-01,199.97840881347656,208.1726901185353,213.62890516755604,192.41138326521514,1195.73,21.22,5,2
2025-06-01,204.54754638671875,199.67238244505168,206.7608124915243,194.47819724086568,1100.41,12.28,6,2
2025-07-01,206.9402618408203,206.04298321828549,215.57397675379596,205.51459239931856,1079.94,10.06,7,3
2025-08-01,231.43572998046875,210.2302549290882,234.4066849574439,200.88868662736786,1218.08,33.52,8,3
2025-09-01,254.14559936523438,228.8138771441885,257.1099504859849,225.5201519844923,1265.54,31.59,9,3
2025-10-01,269.85565185546875,254.55481333131326,276.79244258078194,243.53582217655114,1097.14,33.26,10,4
2025-11-01,278.31951904296875,269.9055636701716,279.8466071371758,264.8152598696411,877.58,15.03,11,4
2025-12-01,271.6058349609375,277.7501099775476,288.35017650299767,266.7004519424265,924.53,21.65,12,4
2026-01-01,259.2374267578125,272.0054776952216,277.5802476161829,243.19242822150838,1040.02,34.39,1,1
2026-02-01,264.5799865722656,260.0299987792969,280.9100036621094,255.4499969482422,803.03,25.46,2,1
